
CONSCALERA1

"Nombre del ordenador:","CONSCALERA1"
Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Cadenas de texto OEM







Dispositivo a bordo

"Descripción del aparato:","64 MB"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Group Associations


Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","32 GBytes"
"Dispositivos de memoria:","2"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Ancho de partición:","1"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM1"
"Bank Locator:","ChannelB"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","3200 MHz"
"Fabricante:","Samsung"
"Número de serie:","3321ED0C"
"Número de parte:","M378A1K43EB2-CWE    "
"Asset Tag:"," "

Dispositivo de memoria

"Ancho total:","0 bits"
"Ancho de datos:","0 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","Desconocido"
"Localizador de dispositivos:","DIMM3"
"Bank Locator:","ChannelA"
"Tipo de dispositivo:","Unknown"
"Detalle del tipo de dispositivo:",""
"Fabricante:",""
"Número de serie:",""
"Número de parte:",""
"Asset Tag:",""

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Conectores de puerto


Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","PS2/COM"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","PS2Keyboard"
"Tipo de conector externo:","PS/2"

Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","PS2/COM"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","PS2/COM"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","COMB"
"Tipo de conector externo:","DB-9 pin male"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","COMA"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","COMA"
"Tipo de conector externo:","DB-9 pin male"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","OPT-IO"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","COMM"
"Tipo de conector externo:","Ninguna"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","DP"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","DisplayPort 1"
"Tipo de conector externo:","Desconocido"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","DP/HDMI"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","HDMI"
"Tipo de conector externo:","DB-15 pin female"

Network Port

"Tipo de puerto:","Network Port"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","LAN"
"Tipo de conector externo:","RJ-45"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","HDSET"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front Headset"
"Tipo de conector externo:","Mini-DIN"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","SPKR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","Speaker"
"Tipo de conector externo:","Ninguna"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","OUT"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear line out"
"Tipo de conector externo:","Mini-DIN"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB3"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front USB 3.0 Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB3"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front USB 3.0 Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front USB 2.0 Port 3"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front USB 2.0 Port 4"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB3"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 3.0 Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB3"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 3.0 Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB3"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 3.0 Port 3"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 2.0 Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 2.0 Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","SD/MEDIA"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Aux USB port"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port0"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","SATA0"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port1"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","SATA1"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port2"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","SATA2"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","Main power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWRCPU"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","CPU power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","SATA PWR0"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","SATA power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","CPUFAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","CPU fan"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWRCMD"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","PSU fan"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWRLED"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Power Button and Front LED"
"Tipo de conector externo:","Desconocido"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","HSENSE"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Hood sense"
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


Slot1 / X16PCIEXP

"Designación de la ranura:","Slot1 / X16PCIEXP"
"Tipo de ranura:","PCI Express Gen3 x16"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","0:1:0"

Slot2 / X1PCIEXP1

"Designación de la ranura:","Slot2 / X1PCIEXP1"
"Tipo de ranura:","PCI Express Gen3 x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:29:0"

Slot3 / M2 WLAN/BT

"Designación de la ranura:","Slot3 / M2 WLAN/BT"
"Tipo de ranura:","PCI Express Gen3 x1"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:20:3"

Slot4 / M2 SSD

"Designación de la ranura:","Slot4 / M2 SSD"
"Tipo de ranura:","PCI Express Gen3 x4"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","4x / x4"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:27:4"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Activado"
"Boot Guard Verified Boot Policy:","Deshabilitado"
"Boot Guard Measured Boot Policy:","Deshabilitado"
"Intel ME Version:","14.1, Build 2046, Hot Fix 67"
"Intel ME Recovery Image Version:","14.1, Build 2046, Hot Fix 67"
"Intel ME FITC Version:","14.0, Build 1807, Hot Fix 60"
"Intel AMT Version:","14.1.67, Build 2046"
"Intel AMT Applications Version:","14.1.67"
"Flash Version:","14.1.67"
"Netstack Version:","14.1.67"
"Recovery Version:","14.1.67, Build 2046"
"Versión de BIOS:","S08 Ver. 02.15.01"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","Capaz"
"Manageability (AMT):","Capaz"
"Small Business Advantage:","No capaz"
"Intel Integrated Touch:","No capaz"
"Intel Anti-Theft:","No capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Intel Sensor Hub (ISH):","No capaz"
"ICC Over Clocking:","No capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Capaz"
"IPV6:","Capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","No capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Activado"
"Manageability (AMT):","Activado"
"Small Business Advantage:","No capaz"
"MEI3:","No capaz"
"Intel Anti-Theft:","Deshabilitado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Intel Sensor Hub (ISH):","Deshabilitado"
"ICC Over Clocking:","Deshabilitado"
"Protected Audio Video Path (PAVP):","Activado"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Activado"
"IPV6:","Activado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Activado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Deshabilitado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Desktop"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Corporate SKU Firmware"
"Platform Brand:","Intel Standard Manageability"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","1333.3 MHz"
"Frecuencia de memoria actual:","1330.4 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","19-19-19-43"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","2T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","7T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","4T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","6T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","7T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","7T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","4T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","7T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","7T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","10T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","10T"
"Read to Write Delay (tRDWR_SD) Same DIMM:","10T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","11T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","33T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","27T"
"Write to Read Delay (tWRRD_SD) Same DIMM:","6T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","7T"
"Row Cycle Time (tRC):","62T"
"Refresh Cycle Time (tRFC):","467T"
"Four Activate Window (tFAW):","28T"

Row: 0 [ChannelB/DIMM1] - 8 GB PC4-25600 DDR4 SDRAM Samsung M378A1K43EB2-CWE

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","1600.0 MHz (DDR4-3200 / PC4-25600)"
"Fabricante del módulo:","Samsung"
"Número de pieza del módulo:","M378A1K43EB2-CWE"
"Revisión del módulo:","0.0"
"Número de serie del módulo:","216867123 (3321ED0C)"
"Fecha de fabricación del módulo:","Año: 2021, Semana: 48"
"Ubicación de fabricación del módulo:","2"
"Fabricante de SDRAM:","Samsung"
"DRAM Steppping:","0.0"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Busbreite:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.62500 ns (1600 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1600.0 MHz:","22-22-22-52"
"Temporización del módulo admitido a 1466.7 MHz:","21-21-21-47"
"Temporización del módulo admitido a 1333.3 MHz:","19-19-19-43"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","2.500 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","31 - 32 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Comet Lake-S 6c - Host Bridge/DRAM Controller [G1]

"Nombre del dispositivo:","Intel Comet Lake-S 6c - Host Bridge/DRAM Controller [G1]"
"Nombre del dispositivo original:","Intel Comet Lake-S 6c - Host Bridge/DRAM Controller [G1]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","3 [G1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9B53&SUBSYS_8719103C&REV_03"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Host Bridge/DRAM Registers - 9B53"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.30.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B53&SUBSYS_8719103C&REV_03\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 630 (Comet Lake-S GT2) [G1]

"Nombre del dispositivo:","Intel UHD Graphics 630 (Comet Lake-S GT2) [G1]"
"Nombre del dispositivo original:","Intel UHD Graphics 630 (Comet Lake-S GT2) [G1]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","3 [G1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9BC8&SUBSYS_8719103C&REV_03"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F0000000"
"Dirección base de memoria 2","E0000000"
"Dirección base de E/S 4","3000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics 630"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.1340"
"Fecha del controlador del dispositivo:","02-Feb-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_9BC8&SUBSYS_8719103C&REV_03\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Comet Lake PCH-H - Thermal Subsystem [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - Thermal Subsystem [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - Thermal Subsystem [A0]"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06F9&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","4000107000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Thermal Subsystem - 06F9"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_06F9&SUBSYS_8719103C&REV_00\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Comet Lake PCH-H - USB 3.1 xHCI Host Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - USB 3.1 xHCI Host Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - USB 3.1 xHCI Host Controller [A0]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06ED&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F1120000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.1"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1806"
"Fecha del controlador del dispositivo:","16-Jun-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06ED&SUBSYS_8719103C&REV_00\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : Chicony Electronics, PID=3F41

"Fabricante del dispositivo:","Chicony "
"Nombre del producto:","HP Wired Desktop 320K Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F2&PID_3F41"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_3F41\5&21396DEC&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : HP Optical Mouse

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.868"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\5&21396DEC&0&3"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : HP, PID=1353

"Fabricante del dispositivo:","HP"
"Nombre del producto:","Ink Tank Wireless 410 series"
"Número de serie:","BR88OFF4VV06V2"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_03F0&PID_1353"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_1353\BR88OFF4VV06V2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Kingston Technology DataTraveler G4

"Fabricante del dispositivo:","Kingston"
"Nombre del producto:","DataTraveler 3.0"
"Número de serie:","E0D55EA57490F4B0394629EE"
"Versión USB admitida:","3.00 (Connected to a USB 2.00 Port)"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"ID de hardware:","USB\VID_0951&PID_1666"
"Fabricante del controlador:","Dispositivo de almacenamiento USB compatible"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0951&PID_1666\E0D55EA57490F4B0394629EE"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : Intel(R) Wireless Bluetooth(R)

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel(R) Wireless Bluetooth(R)"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Intel(R) Wireless Bluetooth(R)"
"ID de hardware:","USB\VID_8087&PID_0026"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Wireless Bluetooth(R)"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","22.190.0.2"
"Fecha del controlador del dispositivo:","07-Nov-2022"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&21396DEC&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


[Port25] : No Device Connected


[Port26] : No Device Connected


Intel Comet Lake PCH-H - Shared SRAM [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - Shared SRAM [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - Shared SRAM [A0]"
"Clase de dispositivo:","RAM/Memory Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06EF&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","F1136000"
"Dirección base de memoria 2","4000106000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Shared SRAM - 06EF"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_06EF&SUBSYS_8719103C&REV_00\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Wi-Fi 6 AX201 160MHz

"Nombre del dispositivo:","Intel Wi-Fi 6 AX201 160MHz"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - CNVi: WiFi (sku 0) [A0]"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06F0&SUBSYS_00748086&REV_00"
"Versión:","2.0"
